Tool Category,Tool Name,Purpose/Use Cases,How It Works (Issues Noticed)
MCP Servers,plugin:serena:serena,Semantic code analysis and editing operations,Provides intelligent code navigation, symbol finding, refactoring tools. Uses LSP (Language Server Protocol) for code understanding. ISSUE: Initial setup requires onboarding, permissions need to be configured in settings.local.json for each tool
MCP Servers,plugin:context7:context7,Documentation and code example queries,Retrieves up-to-date documentation for any library/framework. Requires resolve-library-id first to get the correct library ID, then query-docs to fetch information. ISSUE: Can only be called 3 times per question, limited to certain libraries
MCP Servers,plugin:greptile:greptile,Code review and PR analysis,Automated code review for pull requests. Analyzes PR comments, provides review feedback, tracks addressed/unaddressed comments. ISSUE: Requires repository configuration (name, remote, branch, PR number)
MCP Servers,plugin:playwright:playwright,Browser automation and testing,Web browser control for testing, scraping, UI interactions. Can navigate, click, type, take screenshots, run JavaScript. ISSUE: Browser must be installed first, may need browser_install command
MCP Servers,mcp__4_5v_mcp__analyze_image,Image analysis with AI vision,Analyzes images from remote URLs using advanced AI vision models. ISSUE: Only supports remote URLs (PNG, JPG, JPEG), not local file paths
MCP Servers,mcp__web_reader__webReader,Web scraping and content extraction,Fetches web pages and converts to readable markdown/text format. ISSUE: Default 20s timeout may not be enough for slow sites, cache can be disabled with no_cache parameter
Skills,keybindings-help,Customize keyboard shortcuts,Manage ~/.claude/keybindings.json for custom keybindings and chord shortcuts. USE CASE: Rebinding keys, adding chord bindings
Skills,architect:README,System architecture commands,Access architecture-related commands and tools. USE CASE: Reviewing and designing system architectures
Skills,architect:review,Review system architectures,Analyze existing architectures, identify patterns, assess risks, provide improvement recommendations. ISSUE: Requires existing architecture to review
Skills,architect:architect,Design system architectures,Design complete architectures from requirements with interactive dialogue and documentation. ISSUE: Can be time-consuming for complex systems
Skills,sc:design,Design system architecture/APIs,Design system architecture, APIs, component interfaces with specifications. ISSUE: Requires clear requirements upfront
Skills,sc:cleanup,Clean up codebase,Remove dead code, optimize project structure systematically. ISSUE: May break functionality if not tested after cleanup
Skills,sc:build,Build and compile projects,Intelligent error handling and optimization during build process. USE CASE: Running npm run build, compiling code
Skills,sc:brainstorm,Requirements discovery,Interactive Socratic dialogue for exploring requirements. ISSUE: Can be lengthy for simple projects
Skills,sc:analyze,Comprehensive code analysis,Analyze code quality, security, performance, architecture across multiple domains. ISSUE: May produce large output for complex codebases
Skills,sc:agent,Agent management,Coordinate sub-agents and workflows (alias for sc:pm). USE CASE: Task delegation and orchestration
Skills,sc:git,Git operations,Intelligent commit messages and workflow optimization. USE CASE: Creating commits, managing git workflow
Skills,sc:explain,Code/concept explanation,Educational explanations of code, concepts, system behavior. USE CASE: Understanding complex code
Skills,sc:estimate,Development estimates,Provide time/effort estimates for tasks/features. ISSUE: Estimates are approximate, not guaranteed
Skills,sc:document,Generate documentation,Focused documentation for components, functions, APIs, features. USE CASE: Auto-generating docs
Skills,sc:implement,Feature implementation,Implement features with intelligent persona and MCP integration. USE CASE: Coding new features
Skills,sc:help,List SuperClaude commands,Show all available /sc commands and functionality. USE CASE: Discovering available commands
Skills,sc:index-repo,Repository indexing,Reduce token usage by indexing repository (94% reduction: 58K → 3K). ISSUE: Takes time to index initially
Skills,sc:improve,Code quality improvements,Apply systematic improvements to code quality, performance, maintainability. ISSUE: May introduce changes that need testing
Skills,sc:index,Project documentation/knowledge base,Generate comprehensive project documentation with intelligent organization. ISSUE: Large output for big projects
Skills,sc:load,Session lifecycle management,Load project context using Serena MCP for session restoration. USE CASE: Resuming work
Skills,sc:README,SuperClaude commands,Documentation for all SuperClaude commands. USE CASE: Reference guide
Skills,sc:pm,Project Manager Agent,Default orchestration agent coordinating all sub-agents and workflows. USE CASE: Complex task management
Skills,sc:recommend,Command recommendation engine,Recommends most suitable SuperClaude commands for any input. USE CASE: Discovering right command
Skills,sc:reflect,Task reflection and validation,Validate tasks using Serena MCP analysis capabilities. USE CASE: Quality assurance
Skills,sc:save,Session context persistence,Save session context using Serena MCP for later restoration. USE CASE: Saving work state
Skills,sc:research,Deep web research,Adaptive planning and intelligent web search for research. ISSUE: Can be time-consuming
Skills,sc:sc,SuperClaude dispatcher,Access all SuperClaude features via /sc [command]. USE CASE: Command routing
Skills,sc:task,Execute complex tasks,Intelligent workflow management and delegation. USE CASE: Multi-step tasks
Skills,sc:spec-panel,Specification review,Multi-expert specification review using renowned experts. USE CASE: PRD/specification improvement
Skills,sc:spawn,Task orchestration,Meta-system task orchestration with intelligent breakdown. USE CASE: Parallel task execution
Skills,sc:select-tool,Intelligent MCP tool selection,Select tools based on complexity scoring. USE CASE: Auto-tool selection
Skills,sc:troubleshoot,Diagnose and resolve issues,Debug code, builds, deployments, system behavior. USE CASE: Problem diagnosis
Skills,sc:test,Execute tests,Run tests with coverage analysis and quality reporting. USE CASE: Test execution
Skills,sc:workflow,Generate implementation workflows,Create structured workflows from PRDs and requirements. USE CASE: Planning implementation
Skills,gsd:audit-milestone,Audit milestone completion,Verify milestone completion against original intent before archiving. USE CASE: Milestone review
Skills,gsd:add-todo,Capture idea/task,Capture todos from conversation context. USE CASE: Quick task capture
Skills,gsd:analyze-codebase,Scan codebase,Populate .planning/intel/ with file index, conventions, semantic entities. ISSUE: Takes time for large codebases
Skills,gsd:add-phase,Add phase to roadmap,Add phase to end of current milestone in roadmap. USE CASE: Project planning
Skills,gsd:complete-milestone,Archive completed milestone,Archive milestone and prepare for next version. USE CASE: Milestone management
Skills,gsd:debug,Systematic debugging,Persistent debugging state across context resets. USE CASE: Complex debugging sessions
Skills,gsd:check-todos,List pending todos,List and select pending todos to work on. USE CASE: Task management
Skills,gsd:insert-phase,Insert urgent phase,Insert decimal phase (e.g., 72.1) between existing phases. USE CASE: Urgent work insertion
Skills,gsd:help,Show GSD commands,Available GSD commands and usage guide. USE CASE: Help reference
Skills,gsd:execute-phase,Execute phase plans,Execute all plans in phase with wave-based parallelization. USE CASE: Phase execution
Skills,gsd:discuss-phase,Gather phase context,Adaptive questioning before phase planning. USE CASE: Requirements gathering
Skills,gsd:new-milestone,Start new milestone,Update PROJECT.md and route to requirements. USE CASE: Milestone creation
Skills,gsd:map-codebase,Analyze codebase,Produce .planning/codebase/ documents with mapper agents. ISSUE: Can be lengthy
Skills,gsd:list-phase-assumptions,Surface phase assumptions,Show assumptions before planning. USE CASE: Planning transparency
Skills,gsd:new-project,Initialize new project,Deep context gathering and PROJECT.md creation. USE CASE: Project setup
Skills,gsd:pause-work,Create context handoff,Handoff context when pausing mid-phase. USE CASE: Work pause
Skills,gsd:research-phase,Research phase implementation,Research how to implement phase (standalone). USE CASE: Phase research
Skills,gsd:remove-phase,Remove future phase,Remove phase and renumber subsequent phases. USE CASE: Planning adjustment
Skills,gsd:quick,Execute quick task,GSD guarantees without optional agents. USE CASE: Quick tasks
Skills,gsd:query-intel,Query codebase intelligence,Query dependencies and hotspots in codebase. USE CASE: Codebase queries
Skills,gsd:progress,Check project progress,Show context and route to next action. USE CASE: Progress tracking
Skills,gsd:plan-phase,Create phase plan,Create detailed PLAN.md with verification loop. USE CASE: Phase planning
Skills,gsd:plan-milestone-gaps,Close milestone gaps,Create phases to close identified gaps. USE CASE: Gap closure
Skills,gsd:settings,Configure GSD,Configure workflow toggles and model profile. USE CASE: GSD configuration
Skills,gsd:set-profile,Switch model profile,Switch model quality/balanced/budget for GSD agents. USE CASE: Performance tuning
Skills,gsd:resume-work,Resume previous session,Restore full context from previous session. USE CASE: Session restoration
Skills,gsd:verify-work,Validate features,Conversational UAT for built features. USE CASE: Feature validation
Skills,gsd:update,Update GSD,Update to latest version with changelog. USE CASE: GSD upgrades
Skills,gsd:whats-new,See GSD changes,Show what's new since installed version. USE CASE: Feature discovery
Skills,ralph-loop:cancel-ralph,Cancel Ralph Loop,Stop active Ralph Loop session. USE CASE: Loop cancellation
Skills,ralph-loop:help,Ralph Loop help,Explain Ralph Loop plugin and commands. USE CASE: Help reference
Skills,ralph-loop:ralph-loop,Start Ralph Loop,Start Ralph Loop in current session. USE CASE: Iterative improvement
Skills,code-review:code-review,Review pull requests,Comprehensive PR code review. USE CASE: PR review
Skills,feature-dev:feature-dev,Guided feature development,Feature development with codebase understanding. USE CASE: Building features
Skills,vercel:deploy,Deploy to Vercel,Deploy application to Vercel platform. USE CASE: Production deployment
Skills,vercel:logs,View deployment logs,View Vercel deployment logs. USE CASE: Troubleshooting deployments
Skills,vercel:setup,Set up Vercel,Configure Vercel CLI and project. USE CASE: Initial Vercel setup
Skills,commit-commands:clean_gone,Clean git branches,Remove branches marked as [gone] and worktrees. USE CASE: Branch cleanup
Skills,commit-commands:commit-push-pr,Commit push and PR,Combined git commit, push, and PR creation. USE CASE: Quick PR workflow
Skills,commit-commands:commit,Create git commit,Create git commit with message generation. USE CASE: Version control
NPM Packages,next,Next.js framework,React framework for production-grade applications. ISSUE: Version 16.1.6 is cutting edge, may have compatibility issues with some packages
NPM Packages,react,React library,UI library for building user interfaces. VERSION: 19.2.3. ISSUE: React 19 is very new, some libraries may not support it yet
NPM Packages,react-dom,React DOM,React DOM renderer for web. VERSION: 19.2.3
NPM Packages,next-auth,Authentication for Next.js,Complete authentication solution for Next.js. VERSION: 4.24.10. ISSUE: Using v4 while v5 (Auth.js) is available
NPM Packages,mongodb,MongoDB driver,Native MongoDB driver for Node.js. VERSION: 7.0.0. ISSUE: Major version changes can have breaking changes
NPM Packages,mongoose,MongoDB ODM,Object Data Modeling library for MongoDB. VERSION: 9.1.5. ISSUE: Recent version, check documentation changes
NPM Packages,@vercel/blob,Vercel Blob Storage,File upload and storage solution. USE CASE: Image/file uploads to Vercel
NPM Packages,bcryptjs,Password hashing,Library for hashing passwords. USE CASE: User password security. ISSUE: async version (bcrypt) is faster but native
NPM Packages,zod,Schema validation,TypeScript-first schema validation. USE CASE: Form validation, API schemas
NPM Packages,react-hook-form,Form management,Performform form library for React. USE CASE: Form handling
NPM Packages,@tiptap/react,Rich text editor,Modern rich text editor based on ProseMirror. USE CASE: Admin content editing
NPM Packages,recharts,Chart library,React charting library. USE CASE: Analytics dashboard
NPM Packages,framer-motion,Animation library,Production-ready motion library for React. USE CASE: UI animations
NPM Packages,lucide-react,Icon library,Beautiful icon library. USE CASE: UI icons
NPM Packages,react-dropzone,File dropzone,React dropzone for file uploads. USE CASE: Drag-and-drop file uploads
NPM Packages,react-player,Media player,React player for audio/video. USE CASE: Media playback
NPM Packages,date-fns,Date utilities,Modern date utility library. USE CASE: Date formatting
NPM Packages,tailwindcss,CSS framework,Utility-first CSS framework. VERSION: 4. ISSUE: Tailwind 4 is very new, some plugins may not work
NPM Packages,typescript,TypeScript,TypeScript language support. VERSION: 5. USE CASE: Type safety
NPM Packages,eslint,Code linting,JavaScript/TypeScript linter. USE CASE: Code quality
NPM Packages,@playwright/test,E2E testing,End-to-end testing framework. USE CASE: Browser automation testing
Dev Scripts,npm run dev,Start development server,Start Next.js dev server on port 3000. USE CASE: Local development
Dev Scripts,npm run build,Build for production,Create optimized production build. USE CASE: Production deployment preparation
Dev Scripts,npm run start,Start production server,Start production Next.js server. USE CASE: Running production build locally
